Sentence,Label
what is the project status ?,status
Could you provide an update on the current status of the project?,status
What's the latest information regarding the progress of the project?,status
Can you give me an overview of where the project stands at the moment?,status
I'm curious about the project's current status. Could you fill me in?,status
What's the status report for the project? Any recent developments?,status
Could you share the project's status with me? I'd like to stay informed.,status
What's the project's status update? Is everything on track?,status
Can you provide a status update on the project's progress thus far?,status
I'd appreciate it if you could update me on the project's current status.,status
What's the status of the project at this point in time?,status
what are the high priority projects?,HIGH
Which projects are considered high priority and require immediate attention?,HIGH
Could you provide a list of projects that have been designated as high priority?,HIGH
What projects are currently marked as high priority and need to be addressed urgently?,HIGH
Can you identify the projects with the highest priority status?,HIGH
I'm interested in knowing which projects are considered high priority. Could you share that information?,HIGH
What are the top priority projects that the team is focusing on right now?,HIGH
Could you please highlight the high priority projects that are of utmost importance?,HIGH
What are the critical projects that are classified as high priority?,HIGH
I'd like to know which projects have been prioritized as high priority. Could you clarify that for me?,HIGH
Can you list the projects that have been identified as high priority and need immediate action or attention?,HIGH
what are the no priority projects?,NO_PRIORITY
Could you provide a list of projects that are not considered a priority at the moment?,NO_PRIORITY
What projects have been categorized as low priority and are not currently receiving significant attention?,NO_PRIORITY
Can you identify the projects that have been designated as non-priority?,NO_PRIORITY
I'm interested in knowing which projects are not a priority right now. Could you list them?,NO_PRIORITY
What are the projects that are considered low priority and are not at the top of the list?,NO_PRIORITY
Could you please highlight the projects that are categorized as non-priority?,NO_PRIORITY
What projects have been identified as not having a high priority status?,NO_PRIORITY
Can you list the projects that are not deemed critical or high priority at this time?,NO_PRIORITY
I'd like to know which projects are currently classified as non-priority. Could you clarify that for me?,NO_PRIORITY
What projects are on the list of non-priority projects that don't require immediate attention or action?,NO_PRIORITY
what are the low priority projects?,LOW
Can you provide a list of projects that are categorized as low priority?,LOW
Which projects are currently marked as low priority and are not receiving immediate attention?,LOW
What projects have been designated as lower priority compared to others?,LOW
Could you identify the projects that are considered low priority at the moment?,LOW
I'm interested in knowing which projects are classified as low priority. Could you share that information?,LOW
What are the projects that have been deprioritized and are not at the top of the list?,LOW
Can you list the projects that are not considered high priority or critical?,LOW
What projects are on the list of low priority projects that don't require immediate action or attention?,LOW
I'd like to know which projects are currently classified as low priority. Could you clarify that for me?,LOW
What projects are identified as having a lower priority status compared to others in the pipeline?,LOW
what are the medium priority projects?,MEDIUM
Could you provide a list of projects that fall under the category of medium priority?,MEDIUM
Which projects are currently categorized as medium priority and are being addressed accordingly?,MEDIUM
What projects have been designated as having a medium priority status?,MEDIUM
Can you identify the projects that are considered medium priority at this time?,MEDIUM
I'm interested in knowing which projects are classified as medium priority. Could you share that information?,MEDIUM
What are the projects that are neither high nor low priority but fall in the medium priority range?,MEDIUM
Can you list the projects that are identified as having a medium priority status in the project portfolio?,MEDIUM
What projects are on the list of medium priority projects that require attention but are not urgent?,MEDIUM
I'd like to know which projects are currently classified as medium priority. Could you clarify that for me?,MEDIUM
What projects are identified as having a moderate level of priority compared to others in the project hierarchy?,MEDIUM
what are the project is in the open status?,OPEN
Could you provide a list of projects that are currently in the open status?,OPEN
Which projects are marked as being in the open status and are actively being worked on?,OPEN
What projects have been categorized as being in the open status and are accessible for updates or contributions?,OPEN
Can you identify the projects that are currently in the open status and are open for collaboration?,OPEN
I'm interested in knowing which projects are classified as being in the open status. Could you share that information?,OPEN
"What are the projects that are in the open status, indicating that they are ongoing and accessible to the team?",OPEN
Can you list the projects that are identified as being in the open status in the project management system?,OPEN
"What projects are on the list of open status projects, indicating that they are available for further development or contributions?",OPEN
I'd like to know which projects are currently classified as being in the open status. Could you clarify that for me?,OPEN
"What projects are identified as being in the open status, signifying that they are active and open for participation or updates?",OPEN
what are the project is in the in-process status?,In-Progress
Could you provide a list of projects that are currently in the in-process status?,In-Progress
Which projects are marked as being in the in-process status and are actively undergoing development?,In-Progress
What projects have been categorized as being in the in-process status and are currently being worked on by the team?,In-Progress
Can you identify the projects that are currently in the in-process status and are progressing towards completion?,In-Progress
I'm interested in knowing which projects are classified as being in the in-process status. Could you share that information?,In-Progress
"What are the projects that are in the in-process status, indicating that they are actively being executed or implemented?",In-Progress
Can you list the projects that are identified as being in the in-process status in the project management system?,In-Progress
"What projects are on the list of in-process status projects, indicating that they are undergoing development or execution?",In-Progress
I'd like to know which projects are currently classified as being in the in-process status. Could you clarify that for me?,In-Progress
"What projects are identified as being in the in-process status, signifying that they are currently underway and in progress?",In-Progress
what are the project is in the completed status?,Completed
Could you provide a list of projects that are currently in the completed status?,Completed
Which projects have been marked as completed and are no longer in active development?,Completed
"What projects have been categorized as being in the completed status, indicating that they have been successfully finished?",Completed
Can you identify the projects that are currently in the completed status and are ready for review or deployment?,Completed
I'm interested in knowing which projects are classified as being in the completed status. Could you share that information?,Completed
"What are the projects that are in the completed status, signifying that they have reached their final stage and are ready for the next steps?",Completed
Can you list the projects that are identified as being in the completed status in the project management system?,Completed
"What projects are on the list of completed status projects, indicating that they have been completed successfully?",Completed
I'd like to know which projects are currently classified as being in the completed status. Could you clarify that for me?,Completed
"What projects are identified as being in the completed status, indicating that they have achieved their goals and milestones?",Completed
what is the project description?,description
"Can you provide a detailed description of the project's objectives, scope, and deliverables?",description
"What is the overarching description of the project, including its goals and expected outcomes?",description
"Could you give an overview of the project, including its purpose, timeline, and key components?",description
"I'd like to understand the project better. Could you describe its background, objectives, and significance?",description
"What are the key aspects of the project that you can describe, such as its purpose, stakeholders, and expected results?",description
"Can you provide a comprehensive description of the project, including its goals, methodology, and target audience?",description
"What is the project all about? Could you provide a synopsis that includes its purpose, activities, and expected impact?",description
"I'm interested in learning more about the project. Could you outline its description, including its goals and key features?",description
"Could you provide an overview of the project's scope, including the activities involved and the desired outcomes?",description
"What are the main elements of the project description that you can share, such as its objectives, timeline, and resources required?",description
what is the project title?,title
What is the official title of the project that you're referring to?,title
Could you provide the project's specific title or name for reference?,title
What is the project formally called? Can you share its title?,title
I'd like to know the exact title of the project. Could you provide that information?,title
Can you give me the project's title or name so I can identify it correctly?,title
What is the project's title that you're discussing? Please share it with me.,title
"Could you specify the title of the project you're referring to, including any version or code if applicable?",title
Can you clarify the project's title for better understanding and reference?,title
I'm interested in the project's title. Could you share it so I can have a clear context?,title
What title has been assigned to the project? I'd like to know the specific name used to refer to it.,title
what are the project contains feature tag?,Feature
Which features are tagged under the project's feature tag?,Feature
Could you list the features that are associated with the project's feature tag?,Feature
What specific functionalities or capabilities are included in the project's feature tag?,Feature
Can you provide an overview of the features categorized under the project's feature tag?,Feature
I'm interested in knowing which project features are tagged under a specific feature tag. Could you share that information?,Feature
What features have been labeled or tagged under the project's feature tag for reference?,Feature
Can you outline the features that fall under the project's feature tag for easier identification?,Feature
What functionalities or components are grouped under the project's feature tag?,Feature
Could you clarify which project elements are categorized under the feature tag for better understanding?,Feature
What features are included in the project's feature tag? I'd like to know the specific functionalities identified under this tag.,Feature
what are the project contains refactor tag?,Refactor
Could you list the components or code sections in the project that are marked with the refactor tag?,Refactor
What specific parts of the project have been identified for refactoring and are tagged accordingly?,Refactor
Can you provide an overview of the project elements categorized under the refactor tag for improvement?,Refactor
I'm interested in knowing which parts of the project are tagged for refactoring. Could you share that information?,Refactor
What sections or modules of the project have been labeled with the refactor tag to indicate areas for improvement?,Refactor
Can you outline the components that are marked for refactoring under the project's refactor tag?,Refactor
What code segments or functionalities are grouped under the refactor tag in the project?,Refactor
Could you clarify which project elements are categorized under the refactor tag for code enhancement?,Refactor
What specific changes or improvements are planned for the project based on the refactor tag?,Refactor
I'd like to understand the areas identified for refactoring in the project. Could you provide details on the refactor-tagged components?,Refactor
what are the project contains release tag?,Release
Can you list the features or updates in the project that are labeled with the release tag?,Release
What specific enhancements or functionalities are included in the project's release tag?,Release
Could you provide an overview of the project elements categorized under the release tag for deployment?,Release
I'm interested in knowing which parts of the project are tagged for release. Could you share that information?,Release
What components or modules of the project have been marked with the release tag to indicate readiness for deployment?,Release
Can you outline the features that are labeled for release under the project's release tag?,Release
What code segments or functionalities are grouped under the release tag in the project?,Release
Could you clarify which project elements are categorized under the release tag for deployment purposes?,Release
What specific updates or features are planned for release based on the release tag?,Release
I'd like to understand the components identified for release in the project. Could you provide details on the release-tagged elements?,Release
when the project is created?,created_at
Can you provide the date or timeframe when the project was initially created?,created_at
When was the project first established or initiated?,created_at
"What is the project's creation date, indicating when it was started?",created_at
Could you share the timestamp or historical record of when the project was created?,created_at
I'm interested in knowing the project's inception date. When was it first created?,created_at
"What is the project's creation timeline, including the start date?",created_at
Can you specify the exact date or month when the project was created?,created_at
When did the project officially begin or get initiated?,created_at
What is the project's creation history or starting point?,created_at
Could you provide information on when the project was initially launched or established?,created_at
when the project is assigned?,assigned_to
Can you provide the date or timeframe when the project was first assigned to a team or individual?,assigned_to
When was the project officially assigned to the team or project manager?,assigned_to
"What is the assignment date of the project, indicating when it was allocated to a responsible party?",assigned_to
Could you share the timestamp or historical record of when the project was assigned?,assigned_to
I'm interested in knowing the project's assignment date. When was it first allocated to a team or person?,assigned_to
"What is the project's assignment timeline, including the date it was delegated to a responsible entity?",assigned_to
Can you specify the exact date or month when the project was assigned to its respective stakeholders?,assigned_to
When did the project officially get assigned and become active?,assigned_to
What is the project's assignment history or initiation point?,assigned_to
Could you provide information on when the project was first allocated or assigned to a team or individual?,assigned_to
what is the project due date of the project?,due_date
Can you provide the deadline or due date for completing the project?,due_date
When is the project expected to be completed or delivered? What is the due date?,due_date
What is the target completion date or due date for the project?,due_date
Could you share the timeline or deadline set for finishing the project?,due_date
I'm interested in knowing the project's due date. When is it scheduled to be finished?,due_date
"What is the project's completion timeline, including the specified due date?",due_date
Can you specify the exact date or timeframe by which the project should be completed?,due_date
When is the project expected to be finalized or completed according to the due date?,due_date
What is the project's due date or deadline for completion?,due_date
Could you provide information on the scheduled due date or deadline for the project's completion?,due_date
who assigned this task in the project?,assigned_by
Can you identify the individual or team member who assigned this task within the project?,assigned_by
Who is responsible for assigning this specific task in the project?,assigned_by
